,candidates,debug_log,error_message,status
86,"[{'geometry': {'location': {'lat': 33.4486643, 'lng': -112.016724}}, 'id': '9d09ffc370a1c2cb44ced43eb72a802c8d1a968e', 'name': 'Sonoran Brewing Company', 'rating': 4.6}]",{'line': []},,OK
87,"[{'geometry': {'location': {'lat': 42.9922378, 'lng': -81.2129818}}, 'id': '5a3b0a0967508bc2b42b56f7db9083ed208d1520', 'name': 'Powerhouse Brewing Company', 'rating': 0}]",{'line': []},,OK
88,"[{'geometry': {'location': {'lat': 41.518547, 'lng': -71.30562499999999}}, 'id': 'ab460118792f7f38e4e2325e498e7c2fbbcbf870', 'name': 'Coddington Brewing Company', 'rating': 4.2}]",{'line': []},,OK
89,"[{'geometry': {'location': {'lat': 35.98795, 'lng': -80.004282}}, 'id': '6456936f19c34fb92e3ab6040d3df78597a9e314', 'name': 'Liberty Brewery and Grill', 'rating': 3.9}, {'geometry': {'location': {'lat': 33.7161717, 'lng': -78.8825737}}, 'id': '862bc285b31bfe42910858487a63808f8eecc9fb', 'name': 'Liberty Brewery & Grill', 'rating': 4}]",{'line': []},,OK
90,"[{'geometry': {'location': {'lat': 32.8466697, 'lng': -79.8767999}}, 'id': 'd9f52dd1ed82c02e4e193be7344c349264ed1a2f', 'name': 'Westbrook Brewing Company', 'rating': 4.5}]",{'line': []},,OK
91,[],{'line': []},,ZERO_RESULTS
92,"[{'geometry': {'location': {'lat': 33.787346, 'lng': -117.869176}}, 'id': '92e5343f5e058366f22065d7ad41dee9202e9dc2', 'name': 'The Pump Room', 'rating': 4.4}]",{'line': []},,OK
93,[],{'line': []},,ZERO_RESULTS
94,"[{'geometry': {'location': {'lat': 40.659725, 'lng': -74.28300399999999}}, 'id': '90ce939b553ba980b179f58384274f260eeec685', 'name': 'Climax Brewing Co', 'rating': 4.9}]",{'line': []},,OK
95,"[{'geometry': {'location': {'lat': 55.76284709999999, 'lng': 12.3837931}}, 'id': '95a309443d430a61bf59ff35c0bc26470a596fc8', 'name': 'Bryggeri Skovlyst ApS', 'rating': 4.1}]",{'line': []},,OK
96,"[{'geometry': {'location': {'lat': 59.9134894, 'lng': 10.7349384}}, 'id': '2b6934b38b9de84d6aaa75ba95c7a661acce1778', 'name': 'Amundsen Bryggeri & Spiseri', 'rating': 4.2}]",{'line': []},,OK
97,[],{'line': []},,ZERO_RESULTS
98,"[{'geometry': {'location': {'lat': 42.5719414, 'lng': -76.85945699999999}}, 'id': 'c19d95bc01150a0cc58df0390836205ee5a47fea', 'name': 'Wagner Valley Brewing Company', 'rating': 4.5}]",{'line': []},,OK
99,"[{'geometry': {'location': {'lat': 40.0225428, 'lng': -75.2190327}}, 'id': 'bdff2165a865f018ac207f2263f47aa716646fe6', 'name': 'Manayunk Brewing Company', 'rating': 3.9}]",{'line': []},,OK
100,[],{'line': []},,ZERO_RESULTS
101,"[{'geometry': {'location': {'lat': 43.0334723, 'lng': -87.9094665}}, 'id': 'feccb3ec36878cdd977b8ce9904526d6e9c394b5', 'name': 'Milwaukee Ale House', 'rating': 4.3}]",{'line': []},,OK
102,"[{'geometry': {'location': {'lat': 46.2109842, 'lng': -119.1192539}}, 'id': 'fcf4eef94dc44bdd1b85e5b252c20c75bbe2f716', 'name': 'Ice Harbor Brewing Company', 'rating': 4.4}]",{'line': []},,OK
103,[],{'line': []},,ZERO_RESULTS
104,[],{'line': []},,ZERO_RESULTS
105,"[{'geometry': {'location': {'lat': 38.2721299, 'lng': -122.6626671}}, 'id': '61385916d672944d07e9845b64b09db708f9e788', 'name': 'Lagunitas Brewing Company', 'rating': 4.7}]",{'line': []},,OK
106,"[{'geometry': {'location': {'lat': 47.6255374, 'lng': -122.3517889}}, 'id': 'c898bd8a3180dd091c2edcb63ac1cca5a488bda1', 'name': 'McMenamins Queen Anne', 'rating': 4.2}]",{'line': []},,OK
107,"[{'geometry': {'location': {'lat': 34.051477, 'lng': -118.2567737}}, 'id': 'ece0415fcf946425c75aa158afd5b8d0c3b62c17', 'name': 'Weiland Brewery Underground', 'rating': 4.3}]",{'line': []},,OK
