,Brewery,brewery_id,review_overall,latitude,longitude,google_rating
1051,Columbus Brewing Company,341,4.0,39.967413,-83.069273,4.3
1052,Comanche Creek Brewing Company,24818,4.5,36.5823781,-105.2906265,4.8
1056,Concord Brewery,59,3.78,35.413838,-80.603039,4.7
1059,Cool Springs Brewery,21329,3.06,35.9452099,-86.8218922,4.3
1060,Coop Ale Works,19456,4.07,35.4185442,-97.6577985,4.7
1062,Cooperstown Brewing Company,60,3.62,42.588861,-74.941396,4.4
1065,Copper Canyon Brewery,1389,3.48,42.4912198,-83.2815037,2.6
1066,Copper Creek Brewing Company,4196,3.8,33.958886,-83.376666,4.2
1069,Copper Kettle Brewery,17138,3.41,39.6926811,-104.8913405,4.6
1070,Copper Kettle Brewing Company,25436,3.92,39.6926811,-104.8913405,4.6
1073,Cornerstone Brewing Company,10667,3.78,41.771546,-81.048817,4.2
1075,Cortland Beer Company,17229,3.86,42.5996432,-76.17951409999999,4.8
1083,Court Avenue Brewing Company,1950,3.66,41.5853134,-93.6209765,4.3
1084,Covington Brewhouse,22413,3.49,30.4778326,-90.09660269999999,4.6
1086,Cowtown Brewing Company,13077,2.83,32.7624266,-97.3244947,4.8
1087,Crabtree Brewing Company,13907,3.43,40.3909542,-104.7268924,4.7
1088,Craft Brewing Company,22937,4.0,33.6868012,-117.3398779,4.7
1090,Craggie Brewing Company,21841,3.85,35.591408,-82.555938,4.8
1091,Craig Street Brew Pub,14609,3.8,48.777183,-123.708402,4.4
1092,Crazy Mountain Brewing Company,23315,3.7,39.7236763,-105.0005934,4.3
1093,Creekside Brewing Company,19202,3.59,35.279336,-120.664746,3.9
1094,Creemore Springs Brewery Limited,455,3.88,44.3249486,-80.10535759999999,4.7
1095,Crescent City Brewhouse,971,3.57,29.9557192,-90.0639107,4.2
1096,Crest Brewing Company,975,1.98,35.1829699,-111.6598228,4
1097,Crested Butte Brewery,15634,4.17,38.8668393,-106.9845659,5
1100,Crooked Fence Brewing,27179,4.0,43.6459861,-116.2686678,3.8
1103,Cross Plains Beer Company,939,3.54,43.1146877,-89.65318409999999,5
1104,Crossroads Brewing Company,24047,4.0,42.2605704,-73.8100881,4.3
1106,Crow Peak Brewing,15943,3.55,44.517491,-103.870356,4.7
1107,Crown Beverages,16023,2.13,34.199241,-79.783851,3.5
