,index,Google Name,Latitude,Longitude,Google Rating,Yelp Name,Yelp Rating,Yelp Review Count,Average Rating
342,342,Heiner Brau,30.4778722,-90.09664560000002,0,Granville Island Brewing,3.5,313,1.75
343,343,Maumee Bay Brew Pub,41.6432615,-83.5381568,4.5,Flying Dog Brewery,4.0,183,4.25
344,344,Padre Island Brewing Co,26.1093275,-97.1685028,4.3,Laht Neppur Brewing Company,4.0,22,4.15
346,346,Main Street Brewery,37.6645095,-121.8737386,4,Brewster's Pizza & Wimberley Brewing Company,3.5,175,3.75
348,348,Blue Hills Ski area,42.2158315,-71.1190756,4.2,Ivy House,5.0,1,4.6
349,349,Black Fox Brewing Company,38.8098644,-104.8257169,0,Hacklberger Bräustüberl,4.0,25,2.0
350,350,Lighthouse Brewing,48.4364773,-123.3967591,4.6,Barrio Brewing Co.,4.0,199,4.3
351,351,Ribe Bryghus,55.3276918,8.7606732,5,Garrison Brewing Co,4.0,52,4.5
355,355,Bootleg Brewery,-33.7568108,115.0551714,3.7,Etna Brewing,4.0,46,3.85
356,356,Wernecker Bierbrauerei,49.9828269,10.1002121,4.8,Draught Works Brewery,4.5,67,4.65
359,359,Barbarian Brewing,43.6454173,-116.2720556,4.8,Terminal Gravity Pop Up,4.0,1,4.4
362,362,Brasserie de Monaco,43.7338493,7.4222641,4.2,Bay Brewing Yokohama,4.0,8,4.1
364,364,North Country Brewing Co,41.0637661,-80.05571789999999,4.7,Stony Creek Brewery,4.0,225,4.35
365,365,The Celt Experience Brewery,51.5785385,-3.217855,1,Lift Bridge Brewing Company,4.0,76,2.5
369,369,Casa de la Cerveza,21.80332,-79.985861,3.8,Hunter's Brewing,4.0,41,3.9
370,370,Intuition Ale Works,30.323491,-81.644708,4.5,The Grumpy Troll,4.0,235,4.25
371,371,Cervecería Barbaroja,-34.363596,-58.8047653,4,Vices et Versa,4.0,130,4.0
372,372,Bridgehouse Brewery,53.874056,-1.8905154,0,Kash 22,5.0,1,2.5
373,373,The West Bend Lithia Beer Co,43.4315203,-88.1578506,0,Nelson's Brasserie - the Lord Nelson Hotel,4.0,92,2.0
374,374,Elegant Bierbrouwerij,52.1654569,4.5661697,0,The Chiltern Brewery Company,3.0,1,1.5
376,376,Owa Brewery,50.8488132,4.3858368,0,Village Pub & Poker,3.5,36,1.75
377,377,Oyster House,39.950268,-75.1665735,4.6,Skagit River Brewery,3.5,303,4.05
378,378,Koskipanimo Oy,61.5011469,23.7585829,0,Vogel Hausbräu,4.0,42,2.0
380,380,Sherwood Mountain Brewhouse,54.5160875,-128.601795,4.6,Officina della Birra,3.0,18,3.8
382,382,J.W. Sweetman,53.3469777,-6.2581381,4.3,YONA YONA BEER WORKS Kanda,5.0,6,4.65
383,383,Icicle Brewing Company,47.59626,-120.659717,4.5,Ten Fifty-Five Brewing,4.5,49,4.5
384,384,Skagway Brewing Co,59.45651900000001,-135.3123592,4.7,Triple F Brewing Co,5.0,1,4.85
385,385,Bierbrouwerij Mommeriete,52.6112845,6.6781924,4.5,Wandering Star Craft Brewery,5.0,9,4.75
389,389,Septem Microbrewery,38.5201376,24.1074854,5,Olde Burnside Brewing Company,4.5,11,4.75
390,390,Hobsons Brewery,52.3748036,-2.485713,4.3,Beers and Bretzel,5.0,1,4.65
391,391,Bank Top Brewery,53.604917,-2.422104,5,Illawarra Brewery,3.5,7,4.25
393,393,McMenamins Mill Creek,47.8771259,-122.2120834,4.2,Gilgamesh Brewing,3.5,267,3.85
394,394,Idle Hands Craft Ales,42.4243919,-71.0747463,4.7,Choperia Holandesa,4.0,1,4.35
395,395,Bozeman Brewing Company,45.6846267,-111.0239183,4.6, Hirosaki Cider kōbō kimori,4.0,3,4.3
396,396,Wild River Brewing & Pizza Co.,42.439074,-123.317694,4.3,Elevation 66 Brewing Co,4.0,567,4.15
399,399,Panther Island Brewing Company,32.763755,-97.33789,4.4,Metropolitan Brewing Taproom,4.5,60,4.45
400,400,Browar Amber / Amber Brewery,54.2604377,18.5212358,4.9,Duke of York,4.0,5,4.45
402,402,Flack Manor Brewery,50.9961691,-1.4970712,4.8,Stevens Point Brewery,4.5,20,4.65
403,403,Brasserie de Bercloux,45.8348788,-0.4704064,5,Indian Wells Steakhouse And Brewery,3.0,90,4.0
405,405,Thomas Hardy,53.43689060000001,-2.6691297,3,Kern River Brewing Company,4.0,433,3.5
406,406,The Lab Gastropub,34.0199032,-118.2805194,4,The Boiler Shop Steamer,5.0,2,4.5
407,407,"Roc Brewing Co., LLC",43.1533777,-77.5975522,4.6,COAST Brewing Company,4.5,33,4.55
408,408,Gräflich zu Stolberg'sche Brauerei Westheim,51.4934977,8.9042516,5,Oxbow Brewing Company,4.5,27,4.75
